plant,capacity_mw,status,longitude,latitude,type
Musi Green Hybrid,10.5,construction,103.57323,-3.22589,solar
Cirata Floating PV,145,planned,107.284362,6.729391,solar
West Kalimantan,100,planned,109.354,-0.0596,solar
Lampung PV + storage,100,planned,104.7308,-2.9708,solar
Singkarak,90,planned,100.54112,-0.609636,solar
Bangka,10,planned,105.77758,-1.45485,solar
East Bali,25,planned,115.5650753,-8.252377963,solar
West Bali,25,planned,114.6488,-8.3621,solar
Saguling,60,planned,107.427236,-6.93368,solar
Ombilin,100,construction,100.7570086,-0.627726275,solar
Tanjung Enim,100,construction,103.7776331,-3.741023378,solar
Batam,1692,planned,104.4361,1.1217,solar
Labuan Bajo,70,planned,119.74541,-8.5285,solar
West Java,50,planned,108.1781,-6.4511,solar
Central Java,50,planned,109.5734,-7.6333,solar
East Java,50,planned,112.238,-7.5389,solar
Tambora,10,planned,116.151915,8.599271,solar
West Java,5,planned,108.1781,-6.4511,solar
Kayan,9000,planned,117.3638874,2.864964409,hydro
Cisokan,1040,planned,107.2186,-6.9478,hydro
Asahan III,174,planned,99.42039,2.58358,hydro
Sukabumi,150,planned,106.46509,-7.13542,wind
Asahan I,180,existing,99.259,2.5113,Hydro
Bakaru,126,existing,119.6042,-3.1141,Hydro
Balambano,130,existing,121.357,-2.5213,Hydro
Bengkok+Dago/saguling,3.85,existing,107.5564,-6.6247,Hydro
Besai - Way Kanan,92.8,existing,104.8051,-4.9822,Hydro
Bili bili,20.1,existing,119.5817,-5.2779,Hydro
Cikalong/saguling,19.2,existing,107.6186,-6.9039,Hydro
CirataI & II,1008,existing,107.3671,-6.7004,Hydro
Darajat 1,55,existing,107.7394,-7.2173,Geothermal
Darajat 2 3,215,existing,107.7394,-7.2173,Geothermal
Dieng,60,existing,109.9119,-7.2061,Geothermal
Giringan - Pamekasan,3.2,existing,111.6715,-7.7201,Hydro
Golang - Pamekasan,2.7,existing,111.1317,-8.1408,Hydro
Gunung Salak,375,existing,106.648,-6.7416,Geothermal
Jatiluhur,186,existing,107.389,-6.523,Hydro
Kamojang 1 2 3,140,existing,107.4553,-6.4239,Geothermal
Kamojang 4,60,existing,107.4553,-6.4239,Geothermal
Ketenger / mrica,8.04,existing,109.2778,-7.5097,Hydro
Klambu/Mrica,1.117,existing,110.7964,-7.0069,Hydro
Koto Panjang Kampar,114,existing,100.8814,0.2905,Hydro
Kracak/saguling,18.9,existing,107.6186,-6.9039,Hydro
Lahendong (Binary Cycle),20,existing,124.8392,1.3346,Geothermal
Lahendong IV,80,existing,124.8225,1.2542,Geothermal
Lamajan/saguling,19.56,existing,107.6186,-6.9039,Hydro
Larona,165,existing,121.5783,-2.8194,Hydro
Lau Renun,82,existing,98.065,3.0824,Hydro
Lodoyo - Brantas,4.5,existing,112.2173,-8.1613,Hydro
Maninjau III,123,existing,100.152,-0.2923,Hydro
Mendalan - Brantas,23,existing,112.3316,-7.854,Hydro
Musi,215.475,existing,102.435,-3.766,Hydro
Ngebel - Pamekasan,2.2,existing,111.6167,-7.7891,Hydro
PB. Sudirman/Mrica,180.9,existing,109.6054,-7.3927,Hydro
Pejengkolan/Mrica,1.4,existing,109.8006,-7.5694,Hydro
Plengan/Saguling,6.87,existing,107.6186,-6.9039,Hydro
Riam Kanan/pangeran Muhamad Nur,30,existing,115.0074,-3.5156,Hydro
Saguling,700.72,existing,107.3663,-6.9126,Hydro
Sempor/Mrica,1,existing,109.3331,-7.4733,Hydro
Sengguruh - Brantas,29,existing,112.551,-8.1764,Hydro
Sidorejo/Mrica,1.4,existing,110.2622,-7.4764,Hydro
Sigura gura (asahan II),286,existing,99.2793,2.5196,Hydro
Singkarak,175,existing,100.6034,-0.6909,Hydro
Sipansihaporas,50,existing,98.7792,1.7427,Hydro
Sutami / Karangkates - Brantas,105,existing,112.4443,-8.1606,Hydro
Tangga (asahan II),317,existing,99.3028,2.5479,Hydro
Timo / Mrica,12,existing,110.4069,-6.9485,Hydro
Tulungagung - Brantas,36,existing,111.9025,-8.0657,Hydro
Ubrug/saguling,18.36,existing,107.6186,-6.9039,Hydro
Ulubelu 1 & 2,110,existing,104.5733,-5.3096,Geothermal
Wayang Windu,227,existing,107.6258,-7.1966,Geothermal
Wlingi - Brantas,54,existing,112.3311,-8.0776,Hydro
Wonorejo - Pamekasan,6.3,existing,112.2869,-8.1136,Hydro
